symbol,stock_code
LUXIND,LUXIND
BALAXI,ANARUB
905IH24A,IBHN47
905IHF24,IBHN48
LICNETFN50,LICNIF
IHFL22A,IBHN49
833IHFL24,IBHN50
MUKANDLTD,MUKAND
87IHFL24,IBHN51
88IHFL25,IBHN52
93IHFL25,IBHN53
847IHFL25,IBHN54
894IHFL25,IBHN55
APOLLO,APOMIC
905IHFL27,IBHN56
AFFLE,AFFIND
AIFL,ASHINT
GTECJAINX,KEEKNO
PETRONET,PETLNG
955IHFL27,IBHN57
PTC,POWTRA
87SCL27,IBHN58
DHANBANK,DHABAN
915SCL27,IBHN59
VAIBHAVGBL,VAIGLO
865SCL24B,IBHN60
905SC24B,IBHN61
TTKHLTCARE,TTKHEA
BIOCON,BIOCON
TIPSFILMS,TIPFIL
MAHABANK,BANMAH
PVTBANIETF,ICIPRI
UMANGDAIRY,UMADAI
GICHSGFIN,GICHOU
ZOTA,ZOTHEA
SALZERELEC,SALELE
POONAWALLA,MAGFI
XPROINDIA,XPRIND
RKFORGE,RAMFOR
CLASSIC,CLADIA
TATAINFOTE,TATINF
DATAMATICS,DATGLO
91D050123,TQA23A
NDTV,NDTV
182D060423,THD23A
364D051023,TYJ23A
SDL24BEES,NIFCP
STER,STEIND
KRITINUT,KRINUT
SPANDANA,SPASPH
BANKBEES,BANBEE
LICNETFSEN,LICSEN
PILANIINVS,PILINV
SPICEJET,SPILI
CMRSL,CYBME
GIPCL,GUJIP
CCL,CCLPRO
NV20,KOTN20
SUZLON-RE,SUZRE1
JPASSOCIAT,JAIASS
EXCELINDUS,EXCIND
LLOYDS,LLOLUX
MATRIXLABS,HERDRU
LT,LARTOU
KRIDHANINF,KRIINF
APARINDS,APAIND
AMBICAAGAR,AMBAGA
SWASTIK,SWAPIP
ABFRL,ADIFAS
FROG,FROCEL
CENTEXT,CENEXT
NIITLTD,NIIT
OPTOCIRCUI,OPTCIR
GLAXO,GLAPHA
EMIL,ELEMA
LUMAXAUTO,LUMAUT
ULTRACEMCO,ULTCEM
TCS,TCS
HDFCMOMENT,HDFM30
COFORGE,NIITEC
HDFCLOWVOL,HDFV30
TEXINFRA,TEXMAC
GRUH,GRUFIN
COASTPP1,COAPP1
DCI,DCINF
PPLPHARMA,PIRPHA
FORCEMOT,FORMOT
WESTLIFE,WESDEV
TRACXN,TRTEC
GULFPETRO,GPPET
HDFCNIFTY,HDFRGE
HDFCSENSEX,HDFSEN
LINCOLN,LINPH
INDSWFTLTD,INDSW
GUFICBIO,GUFBIO
91D190123,TQA23C
182D200423,THD23C
364D191023,TYJ23C
PHANTOMFX,PHADIG
CRANESSOFT,CRASOF
ASTRAMICRO,ASTMIC
GOLDENTOBC,GTCIND
GTL,GLOTEL
EBANK,EDENI
WELENT,WELEN
NARMADA,NARAG
NTPC,NTPC
SALSTEEL,SALSTE
NEWGEN,NEWSOF
BOHRAIND,BOHIND
KOTARISUG,KOTSUG
LALPATHLAB,DRLAL
JBMA,JBMAUT
79NHIT35,NHAN21
